"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","GUST","PRCP","TEMP","VISIB","WDSP"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-03","999.9","99.99","  83.9","  4.0","  2.6"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-04","999.9"," 0.04","  82.8","  4.0","  3.6"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-05","999.9","99.99","  83.2","  4.1","  2.5"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-06","999.9"," 0.47","  82.3","  4.1","  3.6"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-07","999.9"," 0.00","  84.8","  4.3","  3.0"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-08","999.9"," 0.00","  84.1","  4.0","  3.1"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-09","999.9"," 0.02","  84.2","  4.3","  2.4"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-10","999.9"," 0.04","  84.6","  4.0","  3.4"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-11","999.9"," 0.00","  84.1","  4.2","  2.9"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-12","999.9"," 0.04","  84.6","  4.1","  1.5"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-13","999.9"," 0.00","  85.1","  4.3","  1.4"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-14","999.9"," 0.12","  83.8","  4.2","  3.1"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-15","999.9"," 1.57","  81.7","  4.0","  1.1"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-16","999.9"," 0.20","  84.5","  4.2","  2.0"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-17","999.9"," 0.43","  84.8","  4.2","  3.1"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-18","999.9"," 0.00","  82.9","  4.0","  1.1"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-19","999.9","99.99","  84.5","  4.0","  3.0"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-20","999.9"," 0.00","  83.7","  4.2","  2.8"
